Entity Name,Field Name,Type,Required,Description,Foreign Key,CA-GREET Role,CA-GREET Context
SupplyBaseReport,complianceStatus,enum,NO,Compliance status (compliant non_compliant pending),NO,None,-
SupplyBaseReport,reportUrl,uri,NO,URL to full report document,NO,None,-
SupplyBaseReport,supplyBaseId,string,YES,Reference to supply base,YES (SupplyBase),None,-
,,,,,,,
MassBalanceAccount,accountId,string,YES,Unique identifier for mass balance account,NO,None,-
MassBalanceAccount,accountType,enum,YES,Type (input output inventory credit),NO,None,-
MassBalanceAccount,balance,number,YES,Current balance value,NO,None,-
MassBalanceAccount,unit,string,YES,Unit of measurement (m3 tonnes kg),NO,None,-
MassBalanceAccount,lastUpdated,date-time,NO,When balance was last updated,NO,None,-
MassBalanceAccount,notes,string,NO,Account notes,NO,None,-
MassBalanceAccount,organizationId,string,YES,Organization that owns this account,YES (Organization),None,-
,,,,,,,
DataReconciliation,reconciliationId,string,YES,Unique identifier for reconciliation,NO,None,-
DataReconciliation,discrepancyType,enum,YES,Type (volume_mismatch timing_gap documentation_missing quality_difference),NO,None,-
DataReconciliation,volumeDifference,number,NO,Difference in volume if applicable,NO,None,-
DataReconciliation,reconciliationStatus,enum,YES,Status (pending resolved escalated),NO,None,-
DataReconciliation,resolutionNotes,string,NO,How discrepancy was resolved,NO,None,-
DataReconciliation,detectedDate,date-time,NO,When discrepancy was detected,NO,None,-
DataReconciliation,resolvedDate,date-time,NO,When discrepancy was resolved,NO,None,-
DataReconciliation,traceableUnitId,string,NO,Related traceable unit,YES (TraceableUnit),None,-
DataReconciliation,sourceTrackingPointId,string,NO,Source tracking point in discrepancy,YES (TrackingPoint),None,-
DataReconciliation,destinationTrackingPointId,string,NO,Destination tracking point in discrepancy,YES (TrackingPoint),None,-
,,,,,,,
=== LCFS REGULATORY COMPLIANCE ENTITIES ===,,,,,,,
,,,,,,,
LcfsPathway,pathwayId,string,YES,CARB-certified pathway identifier (CA-XX-YYYY-XXX-NNN format),NO,Output,CARB pathway ID assigned after GREET modeling and certification
LcfsPathway,pathwayType,enum,YES,Type (Lookup_Table Tier_1 Tier_2),NO,Output,Pathway tier classification from CARB certification process
LcfsPathway,feedstockCategory,enum,YES,Feedstock (logging_and_mill_residue corn used_cooking_oil algae),NO,Output,GREET feedstock classification from pathway certification
LcfsPathway,fuelProduct,enum,YES,Fuel type (renewable_diesel ethanol biodiesel sustainable_aviation_fuel),NO,Output,Fuel product type from GREET modeling
LcfsPathway,carbonIntensity,number,YES,Carbon intensity in gCO2e/MJ,NO,Output,Final CI output from CA-GREET model calculations
LcfsPathway,energyEconomyRatio,number,NO,Energy economy ratio for LCFS credits,NO,Output,EER from GREET/CARB calculations for credit generation
LcfsPathway,certificationDate,date,YES,Date pathway was certified by CARB,NO,None,-
LcfsPathway,expirationDate,date,NO,Date pathway certification expires,NO,None,-
LcfsPathway,verificationStatus,enum,YES,Status (active suspended expired),NO,None,-
LcfsPathway,caGreetVersion,string,NO,Version of CA-GREET model used,NO,Output,Documents which CA-GREET version produced the CI value
LcfsPathway,facilityLocation,string,NO,Location of production facility,NO,None,-
LcfsPathway,productionProcessDescription,string,NO,Description of production process,NO,None,-
LcfsPathway,notes,string,NO,Additional pathway notes,NO,None,-
,,,,,,,
LcfsReporting,reportingId,string,YES,Unique identifier for LCFS report (LCFS-RPT-YYYY-QN-XXX format),NO,None,-
LcfsReporting,reportingPeriod,string,YES,Reporting quarter (YYYY-QN format),NO,None,-
LcfsReporting,reportDate,date,YES,Date report was generated,NO,None,-
LcfsReporting,totalFuelVolume,number,YES,Total fuel volume in reporting period,NO,None,-
LcfsReporting,totalCreditsGenerated,number,NO,Total LCFS credits generated,NO,None,Credits calculated using GREET CI outputs from LcfsPathway
LcfsReporting,pathwaySummary,array,NO,Breakdown by pathway,NO,None,-
LcfsReporting,verificationRequired,boolean,YES,Whether third-party verification is required,NO,None,-
LcfsReporting,verificationStatus,enum,NO,Verification status (pending verified rejected),NO,None,-
LcfsReporting,submissionDate,date-time,NO,When report was submitted to CARB,NO,None,-
LcfsReporting,reportUrl,uri,NO,URL to report document,NO,None,-
LcfsReporting,notes,string,NO,Additional reporting notes,NO,None,-
LcfsReporting,regulatedEntityId,string,YES,Regulated entity submitting report,YES (Organization),None,-
LcfsReporting,transactionIds,array,NO,Transactions included in this report,YES (Transaction),None,-
,,,,,,,
=== BIORAM COMPLIANCE ENTITIES ===,,,,,,,
,,,,,,,
BioramPathway,pathwayId,string,YES,BioRAM pathway identifier (BIORAM-PWR-YYYY-XX-NNN format),NO,None,-
BioramPathway,fuelType,enum,YES,Fuel type (lumber_mill_residual forest_harvest_residual agricultural_residue),NO,None,-
BioramPathway,targetFacilityType,enum,YES,Facility type (biomass_power_plant biogas_facility combined_heat_power),NO,None,-
BioramPathway,efficiencyStandard,number,YES,Required efficiency standard percentage,NO,None,-
BioramPathway,geographicScope,enum,YES,Geographic scope (California_SRA California_Statewide Western_States),NO,None,-
BioramPathway,certificationDate,date,YES,Date pathway was certified,NO,None,-
BioramPathway,eligibilityStatus,enum,YES,Status (active suspended expired pending_approval),NO,None,-
BioramPathway,carbonIntensity,number,NO,Carbon intensity in gCO2e/MJ,NO,Potential Input,May use GREET-like modeling for biomass power CI calculations
BioramPathway,expirationDate,date,NO,Date pathway certification expires,NO,None,-
BioramPathway,sourcingRequirements,string,NO,Requirements for fuel sourcing,NO,None,-
BioramPathway,verificationProtocol,string,NO,Verification protocol reference,NO,None,-
BioramPathway,notes,string,NO,Additional pathway notes,NO,None,-
,,,,,,,
BioramReporting,reportingId,string,YES,Unique identifier for BioRAM report (BIORAM-RPT-YYYY-QN-XXX format),NO,None,-
BioramReporting,reportingPeriod,string,YES,Reporting quarter (YYYY-QN format),NO,None,-
BioramReporting,reportDate,date,YES,Date report was generated,NO,None,-
BioramReporting,totalBiomassVolume,number,YES,Total biomass volume in bone dry tonnes,NO,None,-
BioramReporting,totalEnergyGenerated,number,YES,Total energy generated in MWh,NO,None,-
BioramReporting,overallEfficiency,number,NO,Overall facility efficiency percentage,NO,None,-
BioramReporting,fuelSourceBreakdown,array,NO,Breakdown by fuel source type,NO,None,-
BioramReporting,complianceStatus,enum,NO,Compliance status (compliant non_compliant under_review),NO,None,-
BioramReporting,submissionDate,date-time,NO,When report was submitted to CEC,NO,None,-
BioramReporting,reportUrl,uri,NO,URL to report document,NO,None,-
BioramReporting,notes,string,NO,Additional reporting notes,NO,None,-
BioramReporting,facilityEntityId,string,YES,Facility submitting the report,YES (Organization),None,-
