Entity Name,Field Name,Type,Required,Description,Foreign Key
BioramPathway,fuelType,enum,YES,Fuel type (lumber_mill_residual forest_harvest_residual agricultural_residue),NO
BioramPathway,targetFacilityType,enum,YES,Facility type (biomass_power_plant biogas_facility combined_heat_power),NO
BioramPathway,efficiencyStandard,number,YES,Required efficiency standard percentage,NO
BioramPathway,carbonIntensity,number,NO,Carbon intensity in gCO2e/MJ,NO
BioramPathway,geographicScope,enum,YES,Geographic scope (California_SRA California_Statewide Western_States),NO
BioramPathway,certificationDate,date,YES,Date pathway was certified,NO
BioramPathway,expirationDate,date,NO,Date pathway certification expires,NO
BioramPathway,eligibilityStatus,enum,YES,Status (active suspended expired pending_approval),NO
BioramPathway,sourcingRequirements,string,NO,Requirements for fuel sourcing,NO
BioramPathway,verificationProtocol,string,NO,Verification protocol reference,NO
BioramPathway,notes,string,NO,Additional pathway notes,NO
,,,,,
BioramReporting,reportingId,string,YES,Unique identifier for BioRAM report (BIORAM-RPT-YYYY-QN-XXX format),NO
BioramReporting,reportingPeriod,string,YES,Reporting quarter (YYYY-QN format),NO
BioramReporting,reportDate,date,YES,Date report was generated,NO
BioramReporting,totalBiomassVolume,number,YES,Total biomass volume in bone dry tonnes,NO
BioramReporting,totalEnergyGenerated,number,YES,Total energy generated in MWh,NO
BioramReporting,overallEfficiency,number,NO,Overall facility efficiency percentage,NO
BioramReporting,fuelSourceBreakdown,array,NO,Breakdown by fuel source type,NO
BioramReporting,complianceStatus,enum,NO,Compliance status (compliant non_compliant under_review),NO
BioramReporting,submissionDate,date-time,NO,When report was submitted to CEC,NO
BioramReporting,reportUrl,uri,NO,URL to report document,NO
BioramReporting,notes,string,NO,Additional reporting notes,NO
BioramReporting,facilityEntityId,string,YES,Facility submitting the report,YES (Organization)
,,,,,
